x,y,z,label
0,0,0,3
0.0540783405303955,0.0276796519756317,0.0181471915677465,3
0.116967678070068,0.0793157815933228,0.00636210625472433,3
0.163602888584137,0.106157422065735,-0.00986342823651665,3
0.199005842208862,0.0940507352352142,-0.0255276592686497,3
0.128502309322357,0.10197502374649,-0.0387327349051558,3
0.144137978553772,0.202252209186554,-0.0560504807397448,3
0.153578579425812,0.260012805461884,-0.0622419914468848,3
0.162535965442657,0.309632778167725,-0.0679033784433925,3
0.101090967655182,0.102250516414642,-0.0620312741264426,3
0.0923360586166382,0.222453474998474,-0.0747464386984431,3
0.0859439373016357,0.269249558448791,-0.0686505524679744,3
0.081454336643219,0.303698837757111,-0.0684414817258441,3
0.0626257061958313,0.102429091930389,-0.0800866721436107,3
0.0458610057830811,0.200288593769073,-0.0806127203866565,3
0.036826491355896,0.17633730173111,-0.0542047931119525,3
0.0347273349761963,0.152737379074097,-0.0402031069859588,3
0.0211078524589539,0.105182707309723,-0.0990763170882785,3
0.0117706060409546,0.180703520774841,-0.0928748710319125,3
0.00285249948501587,0.159086108207703,-0.071008638875159,3
-0.00233793258666992,0.135521590709686,-0.0574151626094901,3
0,0,0,3
0.0878912210464478,0.0159757137298584,0.00144597808302516,3
0.175953924655914,0.069176584482193,-0.027816832978901,3
0.248479902744293,0.0958136916160584,-0.0562498746259776,3
0.307978987693787,0.0889873504638672,-0.0811931481404868,3
0.153928488492966,0.155114412307739,-0.0984955197020141,3
0.204519033432007,0.290967702865601,-0.129054493252811,3
0.235040485858917,0.365579187870026,-0.137247717921313,3
0.256059765815735,0.424818813800812,-0.142215228621539,3
0.0916536450386047,0.187256932258606,-0.110462686960277,3
0.126165896654129,0.35563337802887,-0.141777730528888,3
0.141799360513687,0.447167038917542,-0.137473127786693,3
0.144309490919113,0.512493968009949,-0.134771621768054,3
0.0322277843952179,0.209245800971985,-0.112736216728267,3
0.0667352974414825,0.311458826065063,-0.115238099340972,3
0.0700933039188385,0.274531960487366,-0.072169183735427,3
0.0606976747512817,0.233411073684692,-0.0440893089218704,3
-0.0212957561016083,0.221046090126038,-0.118091694061336,3
